BN,BW,LP,FS,FE,MIC,FL,FU,SFBA,FFBA,EFBA,SFBL,FFBL,EFBL,FBA,NNFF,FBN,FBL,LBN,PH,PW,PBS
11.8,5.41,34.62428705,26.1,7.95,4.055,27.77,83.55,66.45,62.23,61.02,11.3,17.4,13.6,63.23,3.4,9.1,14.1,2.5,61.6,37.5,0.32
11.1,6.91,35.23552387,23.75,8.65,4.46,28.075,84.05,59.37,59.64,59.11,17.8,22.2,20.4,59.37,5,10.5,20.13,1.5,90.7,48.4,0.42
12.45,5.67,42.39534412,23.85,11.45,4.25,30.185,85.15,66.6,64.75,61.15,19,22.25,16.5,64.17,5.2,10.7,19.25,1.2,86.4,58.5,0.52
16.2,5.32,41.00519795,25.45,8.6,4.945,27.04,85.2,64.79,60.02,56.58,13.3,18.3,13.7,60.46,4.5,11,15.1,1.1,80.3,47.6,0.42
14.3,5.87,42.07737558,27.05,10,4.505,29.495,85.7,77.22,62.7,60.22,13.1,18.3,20.49,66.71,4.7,9.8,17.3,1.2,67,46.1,0.25
13.65,6.52,39.9672798,28.3,7.3,4.77,29.785,85.7,65.56,61.62,55.44,9.75,14.83,11.4,60.87,4.3,9.2,11.99,0.6,76.6,46.8,0.46
9.9,6.81,39.35764363,24.1,9.9,4.115,27.735,84.7,67.79,65.72,57.91,9.1,12.3,8.4,63.81,4.6,10.8,9.93,1,59.6,29.7,0.38
10.45,6.59,39.9175568,27.6,9.75,5,28.78,84.75,63.99,53.53,55.92,19.25,31.7,24.2,57.81,4.3,10.6,25.05,1.8,80.3,48.9,0.45
14.65,6.38,32.96865885,23.85,10,4.05,28.505,81.85,67.88,69.02,65.61,17.1,27,24.15,67.5,4.9,11.1,22.75,2.2,68.1,51.5,0.41
17.3,5.05,32.9179369,23.2,9.75,4.875,26.135,84.35,66.23,62.32,64.41,17.1,22.3,19.27,64.32,5.6,11,19.56,3.1,81.8,49.6,0.34
14.5,6.16,39.11800713,30.35,8.3,4.645,30.225,86.5,67,57.07,56.68,6.6,9.75,8.75,60.25,5.3,10.3,8.37,2.3,66.9,39.4,0.31
12.15,5.46,38.44848485,25.2,10.3,4.385,29.49,84,61.22,60.57,57.85,13.8,14.35,11.1,59.88,4.8,9.8,13.08,2.2,70.4,33.2,0.43
14.9,5.41,39.50543885,25.65,9.95,4.325,28.345,84.6,69.88,63.96,60.58,10,18.92,13.4,64.81,4.9,12,14.11,2.6,67.8,48.4,0.49
15.2,6.56,42.41101119,27.6,9.9,5.275,30.985,85.1,69.17,57.25,59.16,16.65,19.4,15.6,61.86,5.6,10.8,17.22,2.6,82.5,46.4,0.68
13.15,6.28,43.09014126,25.2,10.1,5,28.905,86.25,79.04,63.73,63.29,14.35,19.15,16.8,68.69,5.2,10.1,16.77,2.1,76,50.2,0.42
15.15,5.49,43.39613627,24.05,7.7,4.76,27.77,83.75,57.38,54.09,52.62,12.8,24.2,17.8,54.7,5.5,10.2,18.27,2.5,75.7,46.8,0.28
15.15,5.14,39.29923307,24.85,8.85,4.035,29.47,84.45,64.39,55.54,59.56,19.5,26.75,21.45,59.83,4.8,10.5,22.57,2.3,84.4,58.3,0.61
23.1,6.67,39.95645783,27.65,9,4.605,29.24,85.15,61.99,57.57,57.6,13.6,19.2,20.9,59.05,5.8,11.3,17.9,3.2,83,46.9,0.34
14.55,5.97,39.90694426,27.05,7.85,4.31,29.27,85,65.7,56.22,60.12,16.1,24.85,18.7,60.68,4.3,10.6,19.88,2.2,86.5,58.3,0.26
13.35,6.54,39.49985359,25.7,10.15,4.83,30.245,86.2,71.98,64.5,61.45,20.05,29.5,23.5,65.98,5,11.4,24.35,2.3,96.8,65.5,0.34
13.85,5.93,39.25597092,25.1,13.2,4.675,30.775,86.1,69.14,58.9,60.12,13.85,32.95,21.6,62.72,5.2,11.2,22.8,2.4,88.3,65.4,0.42
23.2,5.75,45.73543505,27.4,11.9,5.165,28.57,85.7,67.31,59.82,56.55,16.9,23.95,16.35,61.23,4.8,9.9,19.07,1.4,82,46.7,0.6
16.6,6.6,37.03035941,25.95,8,4.595,29.86,83.55,70.43,63.15,60.59,15.5,27.4,17.8,64.72,5.1,10.9,20.23,1.8,87.4,52.6,0.3
14.75,7.12,40.98978962,33,6.5,4.455,30.485,86.05,65.7,56.98,55.3,16.9,25.25,19.7,59.33,5.2,11.3,20.62,1.9,78.9,53,0.48
17,6.31,40.32057911,27.25,7.55,3.82,33.265,85.7,61.29,58.01,55.14,14.25,23.15,19.65,58.15,5.6,10.8,19.02,2.4,78.1,42.8,0.26
13.2,5.67,37.54615289,33.9,6.45,4.55,33.175,87.9,69.34,61.81,64.77,22,24.65,16.3,65.31,4.9,9.9,20.98,1.3,68.2,55.9,0.18
16.35,6.83,33.64388723,25.55,8.2,4.61,29.615,83.9,69.09,65.93,59.08,14.25,25.7,21.25,64.7,4.8,10.8,20.4,1.6,79.5,55.7,0.48
15.2,5.84,35.40154598,26.05,7.9,4.715,26.56,83.3,69.08,65.15,61.89,10.1,24.35,20.45,65.37,3.5,11.8,18.3,1.2,84.8,58.4,0.39
12.55,6.38,43.09852717,29.95,8.1,4.76,30.31,86.2,63.07,52.38,55.97,15.5,27.05,19.35,57.14,5.3,10.9,20.63,2.2,84.5,52.1,0.48
16.7,5.55,40.06474077,27.75,10.35,5.07,28.205,86.7,70,62.39,57.69,19.5,22.65,16.5,63.36,4.7,11,19.55,1.7,78.8,53.1,0.54
12.7,6.21,37.10379899,27.3,7.9,4.57,28.42,85.4,68.99,60.45,55.61,6.4,15.95,13.2,61.68,4,11.8,11.85,1.2,66.6,39,0.54
12.65,6.21,41.19042926,26.25,11.1,4.58,29.685,86,64.48,59.76,59.55,11.45,24.65,16.2,61.26,4.8,10.5,17.43,1.2,84.7,50.4,0.36
10.8,5.2,41.14410322,24.2,9.15,4.88,27.21,82.85,67.47,63.5,59.64,8.7,19.85,14.15,63.54,4.5,11.3,14.23,1.6,76.6,47.4,0.52
12.85,5.77,34.96915813,26.8,8.55,4.46,28.94,84.35,61.75,60.44,54.31,14.7,21.4,15.1,58.83,4.5,10.8,17.07,1.7,70.8,40.3,0.34
14.5,6.74,39.66030114,26.05,8.55,4.07,29.38,83.4,67.72,59.46,60.3,17.65,25.05,16.45,62.49,5.3,10.6,19.72,2.8,79.1,47.4,0.32
14.45,5.53,39.27463184,22.3,8.55,4.24,27.16,82.05,70.09,59.66,58.21,14.45,25.6,19.35,62.65,4.6,11.4,19.8,2.4,66.8,41.5,0.35
13.45,6.25,38.18099732,26.5,8.55,4.395,30.94,86.4,67.78,62.04,64.89,16.85,21.65,19.05,64.9,4.9,10.5,19.18,2.1,73.4,38.8,0.46
10.2,6.14,39.21450973,24.75,8.4,4.525,27.9,84.05,88.17,62.77,82.04,3.6,6.35,3.9,82.41,5.1,11.3,4.62,1.5,69.1,21,0.38
14.25,5.32,37.86551759,24.4,8.3,5.135,26.055,83.65,74.34,67.43,58.03,13.3,16.45,15.1,66.6,4.1,9.5,14.95,1.3,56.5,46.6,0.28
11.8,5.01,35.03299547,26.9,9.75,4.24,30.275,83.85,72.19,68.43,64.74,9.9,15.15,10.4,68.45,4,11.3,11.82,1.2,63.6,41.5,0.34
9.05,6.34,38.03768262,27.1,9.15,5.06,29.5,84.5,63.54,59.21,58.02,20.6,22.05,14.4,60.26,4.3,9.2,19.02,1.1,66.3,38.5,0.32
12.5,5.98,40.4960981,25.55,11.3,4.175,28.955,85.4,63.12,60.19,56.75,11.18,14,11.95,60.02,4.5,10.3,12.38,1.6,59.8,45.7,0.4
13.4,5.17,43.55197579,23.5,10.25,4.71,27.56,84.15,66.44,64.31,63.56,16.45,28,23,64.77,5,11.9,22.48,1.2,85.9,52.7,0.45
11.8,6.81,37.28893335,29.1,9.35,3.89,29.45,85.35,61.28,56.72,51.63,10.75,21.15,16.15,56.54,4.4,10.7,16.02,2,71.6,46.3,0.25
14.1,6.08,37.88853249,25.4,8.85,4.12,29.11,84.6,70.89,62.95,57.74,13.7,23.1,17.7,63.86,4.6,9.6,18.17,1.6,76.4,50.9,0.31
13.85,5.73,41.39102816,25.05,9.2,4.23,28.46,83.95,80.42,66.33,63.36,8.85,19.9,22.15,70.04,5,11.7,16.97,1.4,72.4,48.5,0.37
15.5,5.66,39.59845817,24.05,9.75,4.36,28.16,84.2,74.53,78.24,73.56,16.85,21.2,16.15,75.44,5.6,10.7,18.07,2.5,70.3,51.3,0.26
23.55,3.62,32.55509389,23.3,8.4,4.78,24.415,81.2,81.25,70.61,72.81,6.65,18.1,20,74.89,5,11.5,14.92,2.1,79.2,51.1,0.25
13.9,7.02,40.27652772,27.15,9,3.925,31.605,84.85,78.32,71.91,65.86,8.9,19.3,18.35,72.03,4.7,10.8,15.52,0.3,88.9,46.3,0.56
14.25,6.05,42.59216545,27.05,9.45,5.05,29.98,86.6,63.02,60.46,59.11,8.7,17.5,12.5,60.86,5,10.4,12.9,1.1,66.4,29.4,0.44
14.7,6.25,43.08905401,28.6,7.9,4.31,30.46,86.65,67.21,61.51,58.96,18.25,35.75,25.95,62.56,4.5,11.8,26.65,2.2,77.6,54.4,0.31
13.7,6.85,39.29874517,26,9.05,5.26,28.7,85.15,62.57,63.41,62.01,12.8,19.5,22.75,62.66,5.5,10.8,18.35,2.2,74.5,45.4,0.64
17.9,6.25,40.84729959,26.5,11.35,4.945,29.575,85.05,69.06,68.15,71.91,15.05,17,17.25,69.71,4.9,10,16.43,2.7,72.7,49.6,0.62
13.65,5.66,45.4399911,24.4,8.9,4.49,29.535,84.5,66.59,57.34,55.81,13.2,15.2,16.45,59.91,5.2,10.8,14.95,2.7,76.3,52,0.28
14,6.76,43.83799727,23.9,9.2,4.135,29.4,84.75,70.1,67.71,64.27,12.2,23.58,17.4,67.36,5.4,10.6,17.73,1.8,86.9,52.5,0.81
12.85,6.14,43.15135893,23.35,8.9,5.07,26.46,83.25,65.59,61,59.48,10.55,12.45,8.45,62.02,4.6,10.7,10.48,2,64.3,39.5,0.4
15.8,5.91,39.66127587,21.95,7.7,4.26,28.05,82.5,67.21,63.5,64.24,8.5,17.95,11.65,64.98,4.1,11.4,12.7,2.2,71.4,48.8,0.23
12.6,5.59,43.11213738,26.5,9.5,4.125,28.525,85.3,64.7,61.65,62.35,11.35,23.4,16,62.9,5.1,9.4,16.92,2.5,77.9,54.8,0.55
11.15,6.16,38.2034632,23.75,11,3.99,28.765,83.7,61.45,52.06,56.29,13.7,20.75,14.85,56.6,5.7,9.3,16.43,2.4,77.2,45.4,0.51
16.75,6.06,37.50288018,27.75,10.05,4.635,27.49,84.8,71.11,68.01,62.31,16.25,23,18.5,67.14,5.4,11.7,19.25,2.6,103.6,67.3,0.29
19.6,5.83,39.94083846,23.25,9.65,4.63,28.53,84.15,67.85,63.18,56.09,10.95,18.85,19.6,62.37,5,11.5,16.47,3.1,78.1,49.2,0.25
16.4,6.64,45.57729566,25.25,11.4,4.855,28.52,84.5,72.12,71.31,69.73,10.4,22.11,14.65,71.05,5.2,11.3,15.72,2.6,83,44.2,0.85
12.9,5.26,36.85960821,29.55,7.7,4.355,33.575,84.5,53.63,50.27,46.52,8.6,14.85,13.6,50.14,5.1,10.5,12.35,2.7,78,38.8,0.49
9.6,5.73,43.41550937,26.35,7.95,5.035,31.03,84.45,68.73,62.04,64.36,7.6,12.5,8.1,65.04,4.6,10,9.4,2.2,60.9,36.9,0.3
10.8,6.93,35.86114994,32.45,7.25,3.745,31.655,86.55,68.96,66.34,65.81,9.4,15.3,10.55,67.04,4.7,9,11.75,1.7,77.6,43.8,0.72
15.1,6.01,42.79489061,29.3,8.95,4.585,31.88,86.05,65.21,63.01,58.76,13.95,25.2,25.25,62.33,4.8,10.7,21.47,1.4,86.8,53.1,0.44
21.95,6.25,38.27779843,26.3,10.75,4.275,30.185,86.2,64.21,66.35,60.06,13.1,22.65,19.5,63.54,4.7,11.7,18.42,1.9,75.2,57.3,0.98
12.45,5.82,37.3897351,25.65,10.8,3.99,30.1,84.25,70.59,72.58,70.18,13.25,21.6,20.55,71.12,5.1,9.4,18.47,0.8,83,58.5,0.59
15.5,4.3,30.27215299,23.35,8.65,3.865,25.225,83.65,65.46,64.13,64.27,14.68,29.43,26.78,64.62,4.8,11.3,23.63,1.1,85.5,66,0.46
15.95,6.28,33.75861094,25.85,7.85,4.8,27.535,83.9,65.21,58.91,55.73,9.3,13.85,10.05,59.95,5.1,11.9,11.07,1.8,78.6,44,0.69
16.15,5.69,41.12338476,26.25,9.9,4.505,28.515,85.25,69.96,67.43,62.21,15.4,21.85,22.2,66.53,4.8,9.5,19.82,1.4,64.2,48.8,0.33
12,5.28,43.57550334,23.85,7.4,4.43,28.155,84.45,64.24,60.2,59.11,18.3,25.9,16,61.18,4.7,10.1,20.07,1.9,78.8,52.3,0.35
12.15,6.3,43.59475544,25.75,11.5,4.515,29.52,85.75,65.46,62.35,60.9,17.42,23.68,15.54,62.9,5.6,9.4,18.88,2.3,81.1,48.4,0.52
17,6.08,42.25427524,23.4,10.05,5.035,27.655,84.3,55.71,54.62,57.44,6.7,12.15,9.35,55.92,4.2,10.5,9.4,1.5,58.6,28.6,0.49
19.6,6.4,42.43905578,27.2,10.7,4.735,31.275,86.95,73.51,65.86,63.93,12.75,30.1,24.2,67.77,4.7,11.3,22.35,1.3,90.4,61.9,0.43
12.5,5.7,39.72181534,26.8,8.25,4.85,28.955,85.45,63.75,65.56,58.82,13.38,21.25,18.25,62.71,4.2,9.7,17.63,1.3,63.1,53.9,0.53
12.15,6.17,41.70347211,26.45,8.65,4.595,29.075,84.65,62.55,57.23,61.61,12.55,21.8,15.2,60.46,4.6,10.8,16.52,1.4,84.2,52.6,0.59
13.8,5.53,40.34060074,25.75,9.05,5.135,28.695,83.4,74.47,67.66,65.52,20.75,24.26,16.28,69.22,4.9,10.1,20.43,1.4,65.7,45.2,0.47
18.85,5.58,48.09049203,24,9.75,4.2,29.36,84.05,63.03,57.81,59.66,18.2,24.6,15.5,60.17,5,10.1,19.43,2.2,82.5,55.6,0.2
17.85,6.44,37.17118955,30.7,8.6,4.005,31.97,86.25,65.29,59.65,55.33,21.2,22.15,18.05,60.09,4.5,10.4,20.47,1.9,75.1,48.8,0.54
15.8,5.83,42.41764333,24.45,9.25,4.665,28.97,85.4,60.69,64.37,62.73,10.45,22.3,16.2,62.6,5,10.2,16.32,1.9,70.8,46.6,0.41
13.3,6.27,39.59400819,25.25,9.15,4.835,29.245,84.5,65.5,62.55,62.55,19.4,23.38,16.5,63.53,4.4,11.2,19.76,1.5,74.4,48.7,0.42
18.4,5.47,41.87870621,27.9,6.45,5.7,29.075,84.45,63.73,60.62,57.45,10.25,16.4,12.25,60.6,4.9,10.4,12.97,1.9,70.5,38.2,0.41
13.8,6.18,39.57201366,25.45,8.8,4.94,28.455,83.55,67.04,68.21,62.56,12.1,13.9,10.2,65.94,4.5,10.5,12.07,1.6,74,40.8,0.41
11.55,5.92,44.24116303,27.35,9.5,5.285,27.97,85.4,62,57.73,56.88,6.5,9.5,4.9,58.87,4.7,9.7,6.97,1,62.7,31.7,0.39
11.15,5.33,40.02553983,27.25,6.9,4.56,29.23,84.95,62.16,64.12,61.08,9.05,14.65,10.55,62.45,4.4,10.8,11.42,1.2,77.9,38,0.29
17,6.53,42.25661549,27.1,10.95,4.78,30.465,86.25,68.37,66.53,67.17,17.85,24.78,19.33,67.36,5.1,10.7,20.65,1.2,83.5,62.9,0.34
20.5,6.14,43.31763055,27.2,11.7,4.93,31.165,86.4,70.43,60.75,62.41,12.85,22.6,18.65,64.53,5.1,10.9,18.03,1.8,95,60.7,0.38
17.3,5.68,39.02579482,23.9,8.7,4.225,28.345,83.95,63.88,68.1,65.7,18.35,26.11,18.76,65.89,4.3,11.1,21.07,1.1,65.6,41.5,0.42
14.3,5.39,31.11250469,25.7,9.5,4.85,26.61,82.7,68.51,68.07,62.89,13.15,25.5,21.45,66.49,4.6,11.6,20.03,1.6,80.8,52.6,0.37
13.8,5.57,39.52165645,25.25,10.9,4.68,26.98,83.7,70.34,62.86,60.32,12.4,18.55,19.85,64.51,4.7,11.2,16.93,1.4,83.8,49.5,0.4
19.85,5.42,33.52268911,26.85,8.05,5.025,26.54,85,70.21,63.9,67.62,13.9,24.5,16.65,67.24,3.5,12.1,18.35,0.9,83,59.7,0.59
13.45,7.29,38.74919716,28,10.45,4.23,31.08,86.25,66.16,62.35,58.12,14.1,20.85,17,62.21,5.2,9.8,17.32,0.9,76.8,44.1,0.29
17.65,6.23,34.34187671,27.2,9.9,4.98,29.945,84.65,63.02,63.85,60.08,9.9,16.75,14.75,62.32,4.8,10.6,13.8,0.2,80.7,47.4,0.43
17.75,6.01,33.4685025,24.45,10.05,4.44,28.98,83.05,67.5,62.62,63.72,15.05,23.6,19.27,64.61,4.5,10.6,19.31,1.3,65.4,42.2,0.42
9.6,5.16,34.92732513,27.75,9.2,4.37,30.815,86.05,71.35,70.36,65.64,10.05,17.35,14.6,69.12,5.5,9.8,14,2.2,58.7,30.9,0.4
11.1,6.59,42.34821722,31.35,8.5,4.815,30.29,85.55,68.86,62.55,59.82,14,21.5,15.05,63.74,6.4,8.8,16.85,2.8,62.3,35.6,0.48
16.25,5.25,44.00701464,26.45,8.75,4.415,30.04,85,62.85,58.56,62.42,17.15,25.55,20.4,61.28,5.5,11.1,21.03,2.6,88.2,58.7,0.36
15.45,4.73,24.74908492,18.55,9.2,2.395,27.775,80.15,62.35,63.97,61.42,14.8,32,22.9,62.58,5.7,11.4,23.23,3,82.2,57.6,0.36
14.3,6.39,40.75402319,27.15,8.6,4.96,29.685,85.55,68.27,65.76,62.83,17,28.35,21,65.62,4.9,11,22.12,2.6,75,54,0.28
15.9,5.79,38.47880968,26.45,8.2,4.87,27.81,84.9,72.79,65.26,66.32,13.2,22.25,21.05,68.12,5.1,11.6,18.83,2.2,74.7,59.7,0.26
11.9,6.08,40.39265122,26.45,9.2,4.425,30.29,84.4,62.78,59.57,64.16,16.05,21.85,14.35,62.17,5.7,9.4,17.42,3.3,84.3,53.1,0.38
11.9,6.38,43.10564984,24.9,10.6,4.485,30.035,86.2,61.63,56.68,59.76,17.55,29.45,19.25,59.36,5.8,10,22.08,3.2,84,53.3,0.4
12.45,4.73,47.16183244,26.7,10.55,4.49,28.505,86.25,59.61,60.25,63.42,12,20.75,16,61.09,4.7,9.9,16.25,2.1,85.4,52.1,0.26
13.25,6.25,42.12653561,27.25,11.85,4.775,28.435,85.2,79.36,71.46,67.51,21.05,29.8,21.15,72.78,4.7,11,24,2.7,99.4,66.8,0.59
15.2,5.94,40.80928305,27.65,12.35,5.1,29.715,87.4,71.64,67.35,65.43,12.5,24.8,16.8,68.14,5.2,8.5,18.03,2.8,70.4,44,0.31
10.75,5.15,34.61066447,25.15,7.75,4.185,27.97,83.95,68.82,67.92,66.39,10.7,16.85,9.45,67.71,5.4,7.6,12.33,2.9,53.4,33,0.74
15.25,5.98,44.24637322,24.05,9.8,5.13,27.76,85.15,67.67,67.37,66.27,12.75,20.7,19.4,67.1,5.1,8.4,17.62,2.6,70.1,44.8,0.33
13.55,5.67,41.59961355,26.15,10.3,4.23,28.74,85.1,77.84,70.88,61.76,10.9,17.85,15.55,70.16,4.6,11.5,14.77,2.1,90.1,47.9,0.52
17.5,6.53,40.56555511,31,8.3,4.55,31.15,85.55,66.37,61.14,55.81,11.7,19.25,13.1,61.11,4.9,10.1,14.68,2.1,73.5,39.1,0.22
13.95,7.63,36.95848375,30.5,12.35,4.555,31.005,87.8,71.77,64.08,66.02,15.2,26.6,22.8,67.29,5.8,10.1,21.53,2.2,76.8,55.2,0.32
14.25,5,32.98027861,21.2,8.55,3.77,24.77,83.3,69.56,65.44,60.95,11.1,17.4,13.65,65.32,4.4,11.5,14.05,1.9,92.6,33.1,0.56
14.35,6.63,35.52302573,31.15,9.85,4.135,30.74,85.75,71.7,68.83,62.58,13.8,20.9,15.2,67.7,5.5,11.6,16.63,2.4,75.6,43.3,0.27
14.9,5.68,39.46421558,25.6,7.35,4.055,29.76,84.05,66.84,64.22,56.01,15.6,24.3,18.95,62.36,5,10.5,19.62,2,79,52.6,0.25
13.2,5.91,39.97611568,23.85,9.9,4.225,28.505,84.5,71.9,62.52,58.85,15.8,19.8,17.9,64.42,4.9,10.6,17.83,2.7,65.3,45.8,0.39
3.85,4.12,33.46886214,28.4,7.9,5.16,28.655,84,72.55,67.72,68.9,15.7,20,13.15,69.72,5.6,7.9,16.28,0.8,33.9,21.7,0.23
6.25,6.71,33.08906718,26.05,8.95,4.825,27.325,83.35,70.55,64.23,68.37,9,16.5,12.4,67.72,5,10.7,12.63,2,69.6,47.2,0.27
12.85,6.02,45.98587937,26.1,8.6,4.7,28.63,82.85,76.34,70.31,61.9,9.05,19.5,11.45,69.52,4.5,11.9,13.33,1.2,75.8,43.3,0.45
11.45,6.77,38.33626599,27.6,8.7,5.04,28.985,83.4,70.91,61.48,64.54,14.15,18.9,18,65.64,5.3,10.2,17.02,2.6,66.8,37.6,0.42
8.25,5.73,43.15837668,27,10,4.81,27.435,85.05,66.62,69.68,62.9,9,17.6,15.35,66.4,4.8,10.9,13.98,1.9,86.2,49.2,0.4
12.8,6.43,43.62342283,25.6,10.9,4.795,30.31,86.55,70.56,69.71,65.99,12.7,27.6,12.85,68.75,5.1,10.8,17.72,1.6,96.5,61.3,0.32
12.45,5.69,41.17873986,31.8,6.8,4.465,33.985,86.95,65.55,63.75,61.48,16.7,24.45,17.55,63.59,4.4,11.1,19.57,1.5,70.1,48.2,0.26
15.35,6.78,43.25142894,27.15,9.6,5.015,29.615,85.5,77.27,68.37,69.15,18.2,22,18.8,71.6,5.2,11.5,19.67,2,82.2,54,0.33
11.5,6.22,40.23093669,30.7,11.55,4.53,30.97,87.2,55.31,58.86,60.5,19.55,26.7,18.5,58.22,4.6,10.7,21.58,1.4,94.1,57,0.33
14.2,5.49,34.52543384,24.9,9.95,3.99,26.075,82.8,78.69,65.01,67.23,14.45,23.2,19.4,70.31,5.1,9.5,19.02,1.7,77.2,46.4,0.48
14.15,6.38,42.16874118,24.35,9.25,5.2,28.94,83.1,64.44,67.43,65.15,24.05,32,20.9,65.67,4.8,10,25.65,1.9,82,57.7,0.61
12.6,7.04,38.39995583,33.55,9.7,4.89,28.8,85.45,80.83,65.73,61.15,16.05,17.35,13.55,69.24,5.7,9.6,15.65,1.4,71.4,38.3,0.2
15.6,6.89,38.05140747,27.75,7.85,5.21,29.75,84.85,71.03,70.43,67.73,20.15,27.3,22.25,69.73,5.2,10.4,23.23,1.6,80.2,59,0.38
15.8,5.31,37.38703634,26.05,9.2,5.525,26.455,84.25,70.15,66.74,68.91,18.3,26.6,23.45,68.6,4.6,10.7,22.78,1.8,82,62.2,0.22
12.05,5.67,41.19740818,30.45,10.2,4.555,30.745,86.15,60.62,57.75,57.53,15.4,22.15,20.6,58.63,5.2,10.8,19.38,1.7,82.5,50.9,0.29
14.55,6.25,41.54565471,26.7,9.4,4.99,30.09,85.05,64.7,61.47,69.96,22.2,29.75,17.95,65.38,4.7,9.9,23.3,1.9,79,45.9,0.37
12.45,5.23,33.65308361,26.1,9.35,4.22,26.93,80.85,65.72,61.54,60.47,15.55,24.45,17.8,62.58,5,11.3,19.27,2,69.9,46.7,0.42
13.6,6.62,39.47873153,27.5,10.15,4.25,29.82,85.65,64.74,58.22,60.89,11.65,27.7,19.1,61.28,5.5,10.7,19.48,1.1,94.1,67.8,0.3
10.65,5.71,31.46720931,26.2,9.55,3.7,30.765,84.25,67.58,58.2,57.29,12.6,19.8,17.8,61.02,4.9,11.8,16.73,1.6,76,50.3,0.3
14.7,5.88,37.32140554,26.65,10.7,4.405,27.295,83.65,63.17,65.99,62.74,16,23.4,20.3,63.97,5.2,10.9,19.9,1.8,89.7,58.5,0.41
11.8,6.06,38.56979978,27.8,8.9,4.565,29.52,85.65,66.11,57.9,55.21,13.8,17.45,15.55,59.74,4.9,9.6,15.6,1.6,75.1,40.8,0.37
17.6,6.23,41.93689164,23.1,9.1,4.585,26.25,82.65,70.69,64.77,63.62,10.7,21.4,19.7,66.36,4.1,11.4,17.27,0.7,72.2,59,0.48
13.5,7.19,38.31103348,27.85,10.35,4.51,30.425,86.15,62.25,57.83,59.76,12,19.7,17.15,59.95,4.5,9.7,16.28,1,76.9,44.3,0.32
16.9,6.41,40.03800017,23,8.05,4.71,27.79,81.85,65.35,62.88,57.19,14.5,19.65,15.5,61.81,4.6,10.6,16.55,1.1,58.2,39.9,0.26
13.15,5.83,37.74587326,30.7,10.1,5.01,30.69,87.55,62.59,63.34,62.38,10.08,18.05,17.3,62.77,5.8,9.5,15.14,2.2,78.8,39.8,0.3
14.2,5.72,35.03318757,25.35,9.5,4.165,28.88,84.95,65.2,64.13,66.65,23.4,29.95,19.8,65.33,5.3,10.5,24.38,2.3,71.7,49.8,0.37
13.6,7.12,38.17418981,28.1,8.7,5.07,28.59,84.95,71.96,63.08,60.23,13.2,19.95,13.65,65.09,5.7,9.6,15.6,1.7,71.8,42.3,0.5
9.9,6.31,36.56497073,24.2,8.35,5.82,25.155,84.15,68.08,69.12,63.94,14.05,15.75,11.95,67.05,4.8,7.5,13.92,2.5,67.4,43.1,0.4
13.95,5.68,34.18065741,27,8.1,4.735,28.32,83.85,69.16,62.48,59.48,16.25,24.7,15.35,63.71,4.9,10,18.77,2.6,70.4,41.5,0.43
12.85,6.62,33.2450966,26.8,9.95,4.82,28.26,83.8,67.55,65.96,67.54,12.7,13.7,14.9,67.02,4.6,10.2,13.77,2.5,67.6,46.5,0.38
15.15,6.01,36.67539847,24.55,7.5,4.315,27.455,83.9,60.76,60.3,60.86,11.55,18.85,16.85,60.64,4.5,10.7,15.75,2.3,82.7,46.7,0.34
14.15,5.71,40.12916047,29.1,9.55,4.39,30.595,85.3,66.69,64.28,63.03,15.3,22.6,14.2,64.67,5.2,10.5,17.37,1.8,69.7,41.3,0.32
16.8,5.49,39.13625459,25.3,10.4,4.475,28.975,85.85,71.02,61.05,59.02,10.6,18.15,13.9,63.7,5.2,8.2,14.22,1.8,75.8,38,0.3
10.05,6.53,37.1537412,26.95,8.7,4.565,28.87,83.6,72.25,61.28,62.79,9.9,17,13.2,65.44,5.6,8.2,13.37,2.7,66.2,41.2,0.6
12.25,5.93,46.51291823,24.25,11.55,5.49,25.68,84.45,63.26,58.01,57.9,13.25,24.1,17.45,59.72,5.5,8.9,18.27,1.7,73.6,50.1,0.58
17.05,5.64,40.00974621,27.2,10.25,4.975,28.695,86.25,69.71,67.92,64.66,13.1,17.75,14.25,67.43,4.9,10.9,15.03,2.1,65,41.7,0.45
14.05,5.81,38.90242513,24.8,8.8,4.37,28.3,84.15,63.17,63.16,60.31,8.8,18.2,14.4,62.21,4.8,10.3,13.82,2.5,78.6,53.3,0.61
14.7,5.52,41.55540002,28.45,11.8,4.74,30.905,83.8,64.75,60.34,58.01,20.7,27.05,18.55,61.03,5.2,10.9,22.1,2.4,101,64.3,0.32
12.45,6.32,36.00112647,26.75,11.35,4.485,29.905,86.15,68.2,59.95,63.31,12.85,28.35,17.8,63.82,4.5,11.1,19.67,1.8,89.9,59.3,0.53
13.45,6.5,36.45722501,24.3,10,4.92,29.29,84.25,59.61,54.08,56.63,23.7,32,25.1,56.77,5.6,12.1,26.93,2.4,94.7,61.2,0.44
13.7,6.63,42.42243367,25.95,11.6,4.975,27.98,84.9,72.17,60.27,61.28,18.25,28.35,20.2,64.57,5,9.8,22.27,1.5,78.5,54.8,0.42
13.4,5.21,42.36332934,25.4,10.2,3.985,30.525,84.2,66.81,59.46,58.14,17,28.15,23.6,61.47,4.7,11.5,22.92,2.1,85.3,56.1,0.31
