DRCK,DRT,RDR
83.66,91.45,1.093114989
69.94,80.12,1.145553331
63.56,83.83,1.318911265
53.6,87.99,1.641604478
48.54,81.49,1.67882159
54.07,91.5,1.692250786
54.72,91.29,1.668311404
56.66,86.91,1.53388634
58.19,89.22,1.533253136
85.41,94.97,1.111930687
54.82,93.66,1.708500547
65.41,85.33,1.30454059
43.25,90.38,2.089710983
70.99,90.54,1.2753909
48.99,86.74,1.770565422
63.13,86.66,1.372722953
59.17,86.48,1.461551462
62.08,95.08,1.531572165
65.27,81.97,1.255860273
71.88,91.92,1.278797997
62.81,79.14,1.259990447
74.97,92.77,1.237428305
56.77,86.22,1.518759908
58.85,80.37,1.365675446
37.85,90.07,2.379656539
54.79,89.86,1.640080307
53.39,88.09,1.649934445
62.59,89.21,1.425307557
65.83,84.91,1.28983746
41.99,82.65,1.968325792
50.54,88.57,1.752473288
59.68,88.17,1.477379357
61.28,93.34,1.523172324
46.45,90.27,1.943379978
32.94,88.67,2.691863995
14.66,85.08,5.803547067
37.89,78.15,2.062549485
34.27,84.86,2.476218267
67.66,80.57,1.190806976
62.77,82.18,1.309224152
71.2,82.61,1.160252809
70.06,85.21,1.21624322
80.89,84.61,1.045988379
23.87,89.07,3.731462086
65.33,88.85,1.360018368
59.55,90.51,1.519899244
47.52,83.77,1.7628367
48.35,81.32,1.681902792
64.04,93.88,1.465958776
49.36,82.04,1.662074554
68.42,86.47,1.263811751
59.15,80.33,1.358072697
40.85,84.37,2.065361077
68.93,83.54,1.211954156
60.73,88.02,1.449366046
75.38,88.13,1.169143009
51.65,86.36,1.672023233
68.3,81.93,1.199560761
40.23,84.81,2.108128262
66.44,87.35,1.314720048
49.11,87.79,1.787619629
53.62,89.17,1.662998881
46.18,77.43,1.67669987
58.66,85.19,1.452267303
48.9,87.67,1.792842536
28.8,83.72,2.906944444
62.95,88.45,1.4050834
70.46,87.72,1.24496168
41.81,92.01,2.200669696
17.69,83.07,4.695873375
58.13,84.6,1.455358679
47.14,79.6,1.688587187
46.97,87.76,1.868426655
46.43,81.37,1.752530691
67.91,94.39,1.389927846
62.43,81.68,1.308345347
40.21,90.65,2.254414325
51.31,89.43,1.7429351
66.6,84.6,1.27027027
54.15,93.52,1.727054478
42.77,89.57,2.094224924
36.23,83.6,2.307479989
56.81,89.72,1.579299419
42.79,88.66,2.071979434
45.55,92.82,2.037760703
56.91,82.17,1.443858724
56.74,93.43,1.646633768
71.12,92.44,1.299775028
38.26,72.21,1.887349712
60.46,92.06,1.52265961
47.4,88.1,1.858649789
66.16,91.73,1.386487304
54.31,86.31,1.58921009
50.44,90.1,1.78628073
50.5,93.58,1.853069307
57.6,85.95,1.4921875
37.01,87.29,2.358551743
56.76,91.81,1.617512333
51.28,92.07,1.795436817
53.46,88.74,1.65993266
44.97,81.95,1.822325995
67.74,85.19,1.257602598
48.86,87.78,1.796561605
47.47,86,1.811670529
47.62,86.14,1.808903822
42.68,91.86,2.152296157
64.41,86.69,1.34590902
52.15,82.38,1.579674017
39.06,82.49,2.11187916
32.39,85.13,2.628280333
59.94,86.39,1.441274608
51.25,87.22,1.701853659
50.88,89.03,1.749803459
53.92,89.95,1.668212166
43.82,83.86,1.913738019
44.48,77.78,1.748651079
