tipo,hl,pct_hl
Tinto    ,5853283, 52.2 
Blanco   ,2481465, 22.1 
Espumoso blanco,1693239, 15.1 
Rosado   ,528496,  4.72
De licor blanco,482123,  4.3 
Espumoso tinto y rosado,160921,  1.44
De licor tinto y rosado,6343,  0.06
De aguja blanco,1604,  0.01
De aguja tinto y rosado,544,0
Otros    ,509,0
