,K01938,K01491,K13990,K00297,K00122,acs,K00625,K00925,apr,K00958,dsr,nif,nar,nap,nir,nrf,ure,glt,K01915,K03320,K00926,arg,mcr
301_48-G13_8-Apicotermitinae-Anoplotermes_janus,1.357889491,1.368875267,1.347440127,1.171887654,0,1.896308828,0.822861612,1.007181974,0,0,1.129297174,0,0,0,0.965019287,0,0,0.670602515,1.337672802,0,1.604134906,1.854224211,0
272_47-G756-Apicotermitinae-Patawatermes,0,1.470641294,0.985009405,0,0,0.881223578,0,1.500548495,1.137336701,0,0,0,1.368968573,1.216971042,1.095342651,1.013105266,0,1.197464164,0.876699571,1.471343442,1.190443648,1.734963807,1.671898379
272_90-T414A-Apicotermitinae-Euhamitermes,1.956011672,1.908210968,1.751971605,1.725703619,1.557535965,1.671143867,2.036368844,1.880772744,1.062265304,0.517375519,0.587436498,1.416571115,0.835734569,1.237098786,1.255987103,1.478512689,0,1.849329566,1.64786221,0,1.364278815,2.140131124,0.599836912
272_27-CAM16_05-Apicotermitinae-Phoxotermes,0,1.688721347,0,1.357236844,0,0,1.839386641,1.690355074,0,0,0,0,2.146795616,1.401136609,0,0,0,1.527765336,1.753606627,0,0,1.917808218,1.63846213
230_21-TBRU814E-Foraminitermitinae-Labritermes_buttelreepeni,1.42847529,1.803435407,1.010459522,1.046488414,1.601468894,2.196340893,1.677872831,1.21465677,1.013535161,0,0,0,0,0,1.122774693,0,0,1.149028505,2.001997946,0,0,2.084746838,0
272_20-BDIT108_2-Foraminitermitinae-Foraminitermes_rhinoceros,1.64100061,1.91877244,1.65049152,1.832997073,1.469412379,2.157207671,1.973932507,1.730640606,1.359303933,1.042056845,0.929626877,0.589445907,1.881885929,1.813289954,1.874710866,1.706058392,1.477328248,2.132955972,1.81670225,1.218976193,1.414619204,2.150410678,0.986339508
230_09-BDIT072-Macrotermitinae-Macrotermes_subhyalinus,1.467596682,1.854526613,1.118396913,1.655322318,1.590338829,1.930043845,1.97942059,1.744114432,0,1.260689436,0,1.300288348,0,1.524814933,0.755541464,1.658213139,0,1.812920071,1.727581114,0,1.266253599,2.101937761,1.106959975
272_99-THAI50-Macrotermitinae-Macrotermes,1.675080932,2.120764538,1.745884698,2.012722003,1.761822272,1.914982897,2.279660172,2.16011688,0.951861028,0,0,1.395753557,0.562891065,1.30308479,1.386608622,1.091463899,1.366900045,2.238669125,2.024456337,1.061114073,1.605834702,2.366163822,0
301_88-THAI071-Macrotermitinae-Macrotermes_annalandai,1.691091213,2.252490955,1.721438867,2.155178597,1.661795758,1.947510756,2.389236248,2.266812423,0,0,0.923606954,1.66641751,1.9843466,1.368865237,1.850194929,1.694359687,0,2.375285796,2.150883361,0.866648746,1.697139536,2.479656399,1.761273628
272_87-SAF5-Macrotermitinae-Allodontotermes_schultzei,1.360190889,1.776096658,1.406471778,1.734078614,1.771024341,1.824343389,1.966539059,1.821673716,0,1.193723039,0,0.72122322,0.433286482,1.612049098,1.005227201,1.75185211,0,2.014796316,1.919701569,0.393753973,1.222549379,2.181606301,1.089331641
