,K01938,K01491,K13990,K00297,K00122,acs,K00625,K00925,apr,K00958,dsr,nif,nar,nap,nir,nrf,ure,glt,K01915,K03320,K00926,arg,mcr
301_12-AUS121-Rhinotermitidae-Heterotermes_sp_4,1.4126946,2.111494319,0.821351571,1.875575089,0.844118222,1.832850147,2.296267229,2.04831406,0,0,0,2.331634261,0,0.375493154,1.150286196,0.561084918,2.178955468,2.403812923,2.002374404,1.90445692,1.309278907,2.313936185,0
301_90-THAI98-Rhinotermitidae-Reticulitermes_sp_A,0,2.136709386,1.891491082,1.766016499,0,2.488163065,1.884520369,1.748019961,1.490704277,1.270892089,1.487511638,2.923170009,1.345880785,2.136125842,2.116898385,1.270194765,0,2.332106965,2.277016249,1.762436191,0,2.460249509,0
301_92-US1-Rhinotermitidae-Reticulitermes_nelsonae,1.568859721,1.968399668,1.807661909,1.840489146,1.721187017,2.073221156,2.11576473,2.034795321,0.998551778,0.342150767,0.583078561,1.654027123,1.622902937,1.588524757,1.59470026,0.37693647,1.284254183,2.345409827,1.870007521,1.961395396,1.389641421,2.295389748,0
229_07-Msp_RNA_1-Microcerotermes-Microcerotermes,1.962547431,2.25461298,0.775460804,2.163929403,1.702435526,2.361995683,2.221341469,2.166466798,1.855513668,0,0,2.832137997,0,1.23001198,2.318141714,0.661652658,1.942142956,2.500183177,2.496356441,2.248734511,0.940774246,2.645138841,0
272_33-FG_ND02_38-Microcerotermes-Microcerotermes_sp_SA,2.046068675,2.192458222,0.378605368,2.125896269,1.822226169,2.226890811,2.141927827,2.150038703,1.892055943,0,0.935380939,2.864204774,0,0.536989115,2.208447519,0,2.195337943,2.251314961,2.294255959,2.177939557,1.283049129,2.49728861,0
272_19-BDIT102-Microcerotermes-Microcerotermes_fuscotibialis,2.145204234,2.001396835,0,1.971279046,1.139939286,1.886066082,2.024530023,1.980550247,1.609046757,0,0,2.686254546,0,0,1.895407589,0,1.478649235,1.875566211,2.228088802,1.878019136,1.007781095,2.227936024,0
230_12-81-Microcerotermes-Microcerotermes_papuanus,2.19376443,2.140070354,1.160756325,2.168761468,1.150740787,2.209526596,1.938622458,2.074398527,2.079533266,0,0,2.347081873,0,0.803419079,2.339395105,0.459539339,1.785352617,2.341523638,2.352896253,1.792243941,0.680996063,2.469097461,0
272_09-AUS13-Microcerotermes-Microcerotermes_sp,1.991361045,1.997723876,1.437982706,1.859810039,0.969423042,2.032762675,1.875863885,1.834017367,1.714682317,0,0.951132759,2.630060603,0,0.838258994,2.065987081,0.907587569,1.928701973,2.269522935,2.168237442,1.83432801,0,2.243559527,0
230_06-G13_23-Syntermitinae-Embiratermes_brevinasus,0,1.072062533,0,0,0.945098785,1.26654681,0,0,0,1.24089662,0,0,0,0,0,0,0,0,0,0,0,1.202762811,0
301_22-BRA14-Syntermitinae-Cyrilliotermes_sp,0.693137086,1.742574351,0,1.200259094,0,0.67677013,1.861764598,1.409143596,0,0,1.047705287,0,1.627824256,1.916212819,0,0,0,1.901563624,1.544694366,0,0.799024433,1.864533122,0
230_19-G13_62-Syntermitinae-Cornitermes_sp_A,1.896968867,1.963878887,0.58476485,1.617530884,0,2.381019292,2.140634539,2.090169622,0.543500734,0.832978017,0,1.419032362,0,0.91477232,2.054768274,1.244739998,1.032636527,2.398148116,2.468935144,2.067956334,0,2.333123228,0
301_34-BRA3-Syntermitinae-Cornitermes_cumulans,1.878854616,1.919177048,0,1.283382335,0,2.209098501,1.979510324,1.960596819,1.674349869,1.008868287,0,2.322455131,0,0,1.797412192,0,1.600596507,2.414971594,2.278658359,1.955460785,0.457319825,2.329516406,0.493596613
301_36-BRA9-Syntermitinae-Rhynchotermes_nasutissimus,1.363727269,1.569821424,0,1.804111526,1.128078309,1.61992645,1.674476551,1.821030722,1.515852936,0.938808225,0,2.123727542,0,0,2.042187021,0,0,2.295874006,2.172580851,1.938016473,0,2.001422081,0
301_33-BRA29-Syntermitinae-Labiotermes_sp,1.857456361,1.840336837,1.613539898,1.456045281,1.108017041,2.036134672,1.2850091,1.706155139,0.922868487,0,0.745435512,1.37586402,0,1.529891842,1.659779979,0.855713243,0,2.090084025,2.06339416,0.888544867,1.316269863,2.10572882,1.764171939
301_35-BRA5-Syntermitinae-Silvestritermes_heyeri,1.314673164,1.792337694,1.215858117,0,0,1.068742367,0.963719232,1.579330654,0,0,0,0,0,0,0,0,0,1.597981123,0,0,1.516130492,1.828810849,0
301_31-BRA11_2-Syntermitinae-Syntermes_grandis,1.890656603,1.830033347,1.841836907,1.890754504,1.077155503,2.151428493,1.817068588,1.603218608,0,0,0,0.864952804,0.94859408,0.93435996,1.807709036,1.100189655,0,2.075115062,2.155775946,0.617801264,1.299333481,2.126796359,1.079354459
272_44-G_13_60-Termitinae-Neocapritermes_taracua,0,0,1.010370057,0.871290436,0,0.927322157,0.753828936,0.461126201,0,0,0,0.966515347,0,0.617052789,0,0,0,1.248886385,1.17227259,0,1.08933956,1.53939796,1.601591602
301_40-G13_28-Termitinae-Planicapritermes_planiceps,1.799316842,2.117140659,1.02278494,0.869809475,1.804436608,2.292259304,2.088835785,2.148589947,0.792801624,0.568959552,0.531437913,0,0.414663385,1.272285428,1.942419569,0.413439252,0,1.69141486,2.016894727,0,1.37882194,2.435714658,0
301_50-G683-Termitinae-Neocapritermes_sp_H,1.753318242,1.987504362,0,1.805613386,1.700311421,2.109883414,1.962964461,2.0300213,0.806480483,0,0,2.085414996,0,0,2.18253593,0,1.870525824,2.234701098,2.401358045,2.131090628,1.1795106,2.299105293,0
230_05-TBRU514A-Termitinae-Prohamitermes,1.607668987,1.684426532,0,0,0,0,1.643731463,1.597596603,0,0,0,0,0,0,0,0,0,0,1.185662228,0,0.858966528,1.573965818,1.131640892
301_15-AUS4-Termitinae-Amitermes_meridionalis,2.114802775,2.267858413,2.120739142,2.219654804,1.071253003,2.29792241,1.635456864,2.178800053,0,0.392048544,0,2.376315037,0.937176742,0.86869286,2.204296498,0.787775773,1.652541909,2.428813288,2.440834421,2.130883854,1.462127603,2.628669394,0.837966009
301_53-G730-Termitinae-Dentispicotermes_brevicarinatus,1.302489593,1.86737165,1.398583677,1.642274319,1.442967254,1.66795231,1.926163577,1.653281001,0.524739916,0,0,0,1.799928448,1.325160406,1.409825145,0.779576002,0,1.860058734,1.855662922,0,1.656903536,2.218807626,0.653399606
301_13-NG45_10k-Termitinae-Pericapritermes_parvus,1.282253565,1.934690554,1.52675702,1.47424047,1.516502652,0.863335056,2.048122884,1.942185145,0,0,0,0,1.862392933,1.407299651,1.289410115,0.695552944,0,1.899478019,1.679390789,0,1.444334536,2.025897794,0.447831441
301_62-NG45-Termitinae-Pericapritermes_parvus,1.913422912,1.928025873,1.493333489,1.588739171,1.633058723,0,2.369193409,1.941839594,0,0,0,0,1.970649442,1.433685078,1.516761201,0,0,2.078646072,2.043487867,0,1.808299572,2.161914471,0
301_57-SP1-Termitinae-Sinocapritermes_sp1_Iriomote,1.3128132,1.744988393,1.700358454,1.410200968,0.415909079,0.854057056,1.308763311,1.472101209,1.108082703,0,0,1.020191966,0,0,0.998495258,0,0,1.585324633,1.383980349,0,1.142553047,1.830831812,1.437848553
301_81-THAI105-Termitinae-Sinocapritermes_sp_1,0.999787839,1.76115196,1.255344061,1.784364844,1.106412817,1.88468804,1.998784696,1.838999048,0,0,0,0,2.270363314,0,0,0,1.037164846,2.285625661,1.764770552,1.687650404,0,2.118581388,0
301_83-THAI037-Termitinae-Procapritermes_sp_1,0.698724646,1.51310844,0,1.535522147,0,1.425043846,1.75347002,1.479902038,0,0,1.391152712,0,1.9645037,0.968066106,0.964938174,1.080655884,0,2.014762064,1.66708487,0,0.759442255,1.712140353,0.701377216
301_76-SING57-Termitinae-Dicuspiditermes_nemerosus,1.280820761,1.058254399,1.437030194,1.426544198,1.007461852,1.502548692,1.886113616,1.962562087,0.699237708,0,0,0,2.161914157,2.269860052,1.299570815,0,0,2.169251123,1.847727244,1.629197049,1.122230431,2.090784694,0
230_20-BDIT069-Cubitermitinae-Cubitermes_nr_fulvus,1.842339144,1.883380847,1.354565188,1.71090528,0,2.048894884,2.035833484,1.945827055,1.003072855,0,1.507027914,0,1.940286482,1.982890362,1.460689948,1.874416355,0,1.915911221,1.252041987,0,1.384471086,2.187166178,0
301_73-RDCT159-Cubitermitinae-Proboscitermes_tubuliferus,1.568887133,1.645631869,1.42171275,1.512637056,1.345336829,1.724677627,1.611458106,1.567764357,0,0,1.227966438,0.684741262,1.410838553,1.536378729,1.666115435,1.844973324,0,1.935414175,1.550625422,0,1.148600218,2.000895586,1.742997819
272_35-G13_105-Termitinae-Termes_fatalis,1.048945495,1.590613609,1.295435164,1.332233869,1.540724503,1.49668715,1.300690114,1.241567722,0,0,0.535950384,0,1.440698225,0.876023346,1.869572665,0.882416549,1.158800516,1.900443334,1.784772677,1.345744458,1.102699107,1.829500036,0.705908593
301_05-49-Termitinae-Protocapritermes_odontomachus,1.64790642,1.962392864,0.814262116,1.668113642,1.469765156,1.585454333,1.574575717,1.728591296,0,0,0,0.759599712,0.998649026,0.911795526,1.31069877,0,0.735253322,1.882423927,1.859675781,1.09772031,1.768756122,2.211803252,0.80896584
301_89-THAI096-Termitinae-Termes_propinqus,1.532624988,1.865141578,1.341372868,1.641794775,1.437884318,1.655329204,1.738963209,1.732160393,0,0,0,1.523789114,1.654482318,1.48110597,0.62678183,1.31486169,0,1.691189133,1.661480375,0.790679791,1.555705829,2.077256744,1.26997865
272_36-G13_112-Termitinae-Cavitermes_cavifrons,0,1.332269658,0,1.485527171,0,0.800248791,1.543605982,1.038625049,0,0.872852276,0,0,1.771871311,0,0.987795462,0,0,1.643468567,1.390263373,0,1.17123128,1.741968431,1.200628864
301_71-RDCT125-Termitinae-Tuberculitermes_bycanistes,1.174754414,1.460201301,0.915548093,1.618896225,0,0,1.51802403,1.303193335,0,0,0,0,1.604635296,1.424386177,1.180135599,1.119118748,0,1.552035242,1.344042437,0,0.848099477,1.917201381,0.464661949
301_74-RD1T21M1_e-Termitinae-Promirotermes_pygmaeus,1.761233201,1.882709754,1.893796266,1.69397462,1.477655528,1.933471753,1.933542745,1.796035418,0,0,0.755906855,0.368693834,0.385477575,0.838697628,1.420064259,1.093009435,0,2.105051842,1.898355035,0,1.613506313,2.302229912,0.768469308
230_11-60-Nasutitermitinae-Nasutitermes_gracilirostris,2.075946088,2.293873256,0,1.967970688,1.498792766,2.383802658,2.194118185,2.145790787,1.319179706,0,0,2.645303446,0,0,2.048181261,0,2.152908316,2.239148969,2.228278429,2.259896607,0,2.503511601,0
301_07-69-Nasutitermitinae-Nasutitermes_bikpelanus,1.988682045,2.142096735,0.551248175,1.468746255,1.490645975,2.429700825,2.148508645,2.116888275,1.66042585,0,0,2.540253987,0,0,2.102604491,0,1.566273537,2.143055644,2.131296455,2.170260392,0,2.416086912,0
272_25-BRU6-Nasutitermitinae-Nasutitermes,1.788618418,1.983712799,0,1.766314703,0.520703834,1.95278657,1.791552691,1.797888865,1.541874726,0,0,2.503501481,0,0,1.52895734,0,0.769368167,1.958308578,1.811564115,1.710725147,0,2.185520111,0
301_16-AUS54-Nasutitermitinae-Nasutitermes_triodiae,1.559303854,1.740279731,0.626457293,1.586952532,0.410239894,1.902490986,1.716754541,1.59198357,1.177747882,0,0.563910777,2.252183107,0.546273367,1.083801399,1.596012758,0.724420556,0.429649749,2.042414487,1.559152188,1.770330884,0.51021407,2.131296516,0
301_18-AUS62-Nasutitermitinae-Nasutitermes_graveolus,1.715899393,2.004455696,0,1.109531909,0.575752984,1.865540136,2.05842413,2.0061033,1.699498679,0,0,2.483202361,0,0,1.900803296,0,1.732103071,2.317946834,1.710446128,1.909548285,0.50287907,2.148289412,0
301_54-G733-Nasutitermitinae-Nasutitermes_macrocephalus,2.068078463,2.216238522,1.252408877,1.954590963,1.596991553,2.308113875,2.101216017,2.12744943,1.608003004,0,0.711552649,2.551807323,0,0,2.114318074,0,1.317243604,2.313731592,2.196296145,2.107990462,1.220119573,2.52423306,0
272_82-RDCT106-Nasutitermitinae-Nasutitermes_lujae,2.270798082,2.257924086,0,1.821481948,1.196646991,2.373721658,1.947627538,1.906275384,1.700781477,0,1.199843014,2.243668474,0,0,2.298667169,0,0,2.269190134,2.103707567,2.091415543,0,2.380738217,0
272_21-BDIT041-Nasutitermitinae-Nasutitermes,1.784299321,2.254966985,1.515194158,1.892157209,0.971819722,2.27828217,1.985148082,2.013956779,1.534266032,0,0,2.475743768,0,0.352755216,2.080167386,0.718151953,1.309602065,2.481166415,2.235148298,2.201441707,1.283178863,2.511733766,0.414723055
272_50-KE15_44-Nasutitermitinae-Trinervitermes_gratiosus,2.0896719,2.098817457,1.339108681,2.043320179,1.80259517,2.298937481,2.070870651,1.882620089,0.336088724,0,0,2.800323252,0,0.960114824,2.093229313,1.001386831,1.800390823,2.282267448,1.969454266,1.927823133,1.743650472,2.403346833,0
301_24-BDIT094-Nasutitermitinae-Trinervitermes_sp,2.051886655,2.149144799,0.648817975,2.100653933,1.779521298,2.291580355,2.049068619,2.165916988,1.724584453,0,0.679249963,2.882579851,0.638781085,0.616912529,2.162176738,0.850214421,2.016694223,2.317659851,2.132803664,2.139899677,1.765442879,2.476315729,0
230_13-THAI43-Nasutitermitinae-Nasutitermes_sp_3,2.315425092,2.340862902,1.188785551,2.100208027,1.914582345,2.704940573,2.162672396,2.218863061,0.628210884,0,0,2.892113897,0,0,2.310152148,0,2.081931156,2.317239261,2.290301741,2.184572086,1.465838577,2.57903192,0
301_85-THAI45-Nasutitermitinae-Oriensubulitermes_inanis,1.604689906,1.66493883,1.652127015,1.486731207,1.485255502,1.561752337,1.827456033,1.859727007,1.124035834,0,0,0.613197511,1.763146082,0.775495325,1.117376144,0,0,1.935161738,1.439065829,1.269516914,1.203045377,1.952084305,0
